Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
CVMS;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;CVMS;35.5414;270.3565;72.881;32327.6824;-5195699.8384;3686950.824;2000-06-25;2022-09-24;2022-10-01;6880.0;
CVO1;BUILDING ROOF;:;:;;;CVO1;45.6109;237.5039;66.659;-2401137.6529;-3769592.632;4535149.1284;2003-01-04;2020-05-25;2022-05-11;6112.0;
DAEX;Single stainless steel rod monument;0.5;:;BEDROCK;;DAEX;32.2245;244.5808;399.309;-2318384.0662;-4878283.7662;3381730.2623;2011-06-13;2022-09-24;2022-10-01;3751.0;
DAM1;glued-rod;:  ROOF;:;;;DAM1;34.334;241.6026;584.161;-2507721.1538;-4638444.5735;3577430.0877;1995-08-04;2000-04-04;2022-05-11;1645.0;
DAM2;pillar;:  CONCRETE BLOCK;:;;;DAM2;34.3348;241.6031;583.378;-2507655.5554;-4638419.607;3577506.5277;1995-08-27;2022-09-08;2022-09-24;7598.0;
DAM3;steel mast;2;CONCRETE BLOCK;0.15;Bedrock;DAM3;34.334;241.6025;580.008;-2507728.709;-4638436.7982;3577427.4776;2003-07-22;2022-09-14;2022-09-26;4397.0;
DAVI;Steel Pin in Rock;:  UNKNOWN;:;;;DAVI;39.9564;239.4215;2007.646;-2491373.8956;-4216300.2338;4075561.9454;2009-11-17;2017-09-26;2022-05-11;147.0;
DBLO;Steel Pin in Rock;:  UNKNOWN;:;;;DBLO;42.7905;239.5807;1516.796;-2374110.8857;-4043445.5693;4311482.1432;2015-02-26;2022-06-20;2022-07-03;242.0;
DCSO;STEEL MAST;:  ROOF;:;;;DCSO;43.211;236.6585;136.807;-2559087.9144;-3889694.414;4344710.3191;2005-01-21;2016-04-05;2022-05-11;4018.0;
DCUT;SHALLOW FOUNDATION PILLAR;:;:;;;DCUT;40.4128;248.4724;1797.278;-1785018.7125;-4525147.787;4114154.216;2008-10-11;2019-04-21;2022-05-11;3748.0;
DDGC;:;:                      :;;;;DDGC;44.0267;267.1615;375.165;-227481.3441;-4588046.5353;4410488.2938;2007-01-14;2022-09-24;2022-10-01;5451.0;
DDMN;SHALLOW FOUNDATION MAST;:;: Bedrock site;;;DDMN;37.7442;241.0188;2265.417;-2447638.7848;-4419078.128;3884416.8162;2000-04-10;2022-09-24;2022-10-01;7549.0;
DDSN;SHALLOW FOUNDATION PILLAR;:  UNKNOWN;:;;;DDSN;43.1188;236.7558;953.088;-2556649.5393;-3900393.4617;4337795.5053;2000-01-28;2022-09-24;2022-10-01;7680.0;
